PseudoTimeSec,PseudoTimestamp,UF-FP1,UF-FP2,UF-O1,UF-O2,UF-C3,UF-CZ,UF-FZ,UF-C4
30.516,09-21-2026 21:18:59:857,-199078.762,109769.596,130100.43,65983.557,120319.351,23321.453,-169443.434,47877.168
30.52,09-21-2026 21:18:59:861,-194358.074,114704.861,129491.523,68373.673,119537.621,32154.46,-163260.003,50970.65
30.524,09-21-2026 21:18:59:865,-187670.432,121799.305,128710.285,70371.383,118872.567,42185.163,-154182.199,52556.059
30.528,09-21-2026 21:18:59:869,-187080.346,122210.577,128733.263,69836.282,119222.596,41436.603,-153524.387,51009.318
30.532,09-21-2026 21:18:59:873,-195243.203,113779.499,129698.322,66661.351,120156.004,28261.948,-164312.501,47761.163
30.536,09-21-2026 21:18:59:877,-198882.067,109872.414,130077.452,66054.903,120296.016,23620.877,-169180.309,47877.168
30.54,09-21-2026 21:18:59:881,-194554.769,114499.225,129514.501,68302.327,119549.289,32004.748,-163523.127,50931.981
30.544,09-21-2026 21:18:59:885,-187473.737,121902.123,128710.285,70442.73,118872.567,42334.875,-153919.074,52594.728
30.548,09-21-2026 21:18:59:889,-187080.346,122313.395,128733.263,69836.282,119245.931,41436.603,-153392.825,51086.655
30.552,09-21-2026 21:18:59:893,-194948.16,114087.953,129698.322,66768.371,120167.672,28411.66,-164049.377,47838.5
30.556,09-21-2026 21:18:59:897,-198980.415,109872.414,130088.941,66019.23,120342.686,23620.877,-169311.871,47877.168
30.56,09-21-2026 21:18:59:901,-194554.769,114499.225,129503.012,68302.327,119572.624,31855.036,-163523.127,50931.981
30.564,09-21-2026 21:18:59:905,-187572.084,121799.305,128687.308,70407.056,118907.57,42334.875,-154050.637,52594.728
30.568,09-21-2026 21:18:59:909,-186686.955,122724.667,128652.841,70014.649,119245.931,42035.451,-152866.575,51241.329
30.572,09-21-2026 21:18:59:913,-193964.683,115116.133,129537.479,67089.432,120109.334,29908.78,-162470.628,48147.848
30.576,09-21-2026 21:18:59:917,-198587.024,110283.686,130031.497,66054.903,120342.686,23770.588,-168654.06,47838.5
30.58,09-21-2026 21:18:59:921,-195144.855,113985.135,129571.945,68052.613,119665.965,30807.052,-164180.939,50738.639
30.584,09-21-2026 21:18:59:925,-187768.78,121696.487,128733.263,70407.056,118942.573,41885.739,-154445.324,52556.059
30.588,09-21-2026 21:18:59:929,-186588.608,122827.485,128641.352,70121.669,119222.596,42334.875,-152735.013,51357.335
30.592,09-21-2026 21:18:59:933,-193079.554,116041.495,129457.057,67410.492,120015.993,31106.476,-161286.567,48302.522
30.596,09-21-2026 21:18:59:937,-198882.067,110078.05,130100.43,65912.21,120354.354,23321.453,-169048.747,47683.826
30.6,09-21-2026 21:18:59:941,-195538.246,113573.863,129675.344,67909.919,119689.3,30058.492,-164838.751,50583.965
30.604,09-21-2026 21:18:59:945,-188296.817,121132.552,128839.791,70271.918,118966.713,41242.679,-155093.256,52472.642
30.608,09-21-2026 21:18:59:949,-186741.136,122660.07,128706.038,70165.836,119208.916,42295.044,-153101.716,51347.366
30.612,09-21-2026 21:18:59:953,-193450.012,115633.487,129508.555,67301.639,120039.328,30869.368,-161997.263,48204.353
30.616,09-21-2026 21:18:59:957,-198894.897,110032.586,130128.682,65957.942,120362.266,23352.477,-169299.578,47661.116
30.62,09-21-2026 21:18:59:961,-195880.764,113189.457,129715.264,67832.046,119727.924,29817.004,-165449.266,50493.708
30.624,09-21-2026 21:18:59:965,-188296.817,121132.552,128827.632,70307.278,118955.179,41393.017,-155358.795,52511.445
30.628,09-21-2026 21:18:59:969,-187518.977,121845.394,128766.835,69847.592,119266.584,41242.679,-154296.64,51153.353
30.632,09-21-2026 21:18:59:973,-195102.924,113902.299,129666.627,66806.593,120154.663,28764.639,-164519.881,47855.13
30.636,09-21-2026 21:18:59:977,-199089.357,109727.083,130080.045,66064.023,120362.266,23502.815,-169963.425,47738.722
30.64,09-21-2026 21:18:59:981,-195491.844,113494.961,129581.512,68044.209,119658.723,30869.368,-165183.728,50610.116
30.644,09-21-2026 21:18:59:985,-188005.127,121336.221,128718.198,70448.72,118920.579,42144.706,-154960.487,52589.05
30.648,09-21-2026 21:18:59:989,-187130.056,122252.732,128669.56,70024.394,119231.983,41994.368,-153765.563,51269.761
30.652,09-21-2026 21:18:59:993,-194616.773,114411.472,129557.193,66983.395,120131.596,29365.99,-163856.034,47971.537
30.656,09-21-2026 21:18:59:997,-199089.357,109727.083,130007.089,66028.662,120385.333,23803.49,-169697.886,47777.524
30.66,09-21-2026 21:19:00:001,-195394.614,113596.796,129508.555,68044.209,119681.79,30869.368,-164918.189,50610.116
30.664,09-21-2026 21:19:00:005,-188005.127,121336.221,128657.401,70413.359,118932.112,41994.368,-154960.487,52589.05
30.668,09-21-2026 21:19:00:009,-186935.596,122456.401,128608.764,70095.115,119220.45,42144.706,-153500.024,51347.366
30.672,09-21-2026 21:19:00:013,-194422.313,114513.307,129520.715,67018.755,120131.596,29666.666,-163457.726,47971.537
30.676,09-21-2026 21:19:00:017,-198700.437,110032.586,129958.451,66134.744,120373.8,23953.828,-169166.809,47777.524
30.68,09-21-2026 21:19:00:021,-195686.304,113291.292,129532.874,67938.127,119704.857,30418.355,-165183.728,50493.708
30.684,09-21-2026 21:19:00:025,-187907.897,121336.221,128669.56,70448.72,118920.579,41994.368,-154827.718,52589.05
30.688,09-21-2026 21:19:00:029,-186741.136,122558.236,128584.445,70165.836,119185.849,42445.382,-153101.716,51424.971
30.692,09-21-2026 21:19:00:033,-193255.552,115735.321,129374.803,67443.081,120004.728,31170.044,-161864.494,48281.958
30.696,09-21-2026 21:19:00:037,-198603.207,110134.421,129958.451,66028.662,120350.733,23953.828,-168901.27,47661.116
30.7,09-21-2026 21:19:00:041,-196075.224,112883.954,129605.83,67761.325,119739.457,29516.328,-165714.805,50299.695
30.704,09-21-2026 21:19:00:045,-188399.322,120825.931,128726.691,70294.538,118952.005,41292.255,-155398.089,52485.159
30.708,09-21-2026 21:19:00:049,-186613.776,122703.209,128579.662,70294.538,119173.69,42651.331,-152999.39,51506.153
30.712,09-21-2026 21:19:00:053,-192664.795,116341.322,129326.121,67595.877,119955.42,32080.744,-160995.056,48412.493
30.716,09-21-2026 21:19:00:057,-198616.618,110188.02,129993.41,65983.691,120363.786,23624.274,-168857.46,47590.127
30.72,09-21-2026 21:19:00:061,-196533.48,112378.179,129688.04,67560.83,119792.073,28758.559,-166325.5,50174.704
30.724,09-21-2026 21:19:00:065,-188498.519,120721.638,128760.621,70259.49,118975.341,40990.238,-155664.612,52445.999
30.728,09-21-2026 21:19:00:069,-187308.155,121973.157,128647.522,69979.11,119220.36,41745.28,-153932.217,51271.191
30.732,09-21-2026 21:19:00:073,-194450.342,114464.043,129507.08,67035.117,120107.099,29664.609,-163660.278,47942.57
30.736,09-21-2026 21:19:00:077,-199211.8,109457.968,130004.719,65983.691,120410.457,23473.266,-169923.549,47590.127
30.74,09-21-2026 21:19:00:081,-196136.692,112691.058,129586.25,67841.21,119733.735,29815.618,-165925.716,50331.345
